PTR_FINAL,MD_NAME
100463,ESMERALDA RANDY
100467,ALMELOR FRANCIS
1004720,RECIERDO JOSEPHINE
10048,SABINIANO KATHLEEN
100480,SANDOVAL MARK ANTHONY
100481,GONZALES RENE
10049,YAP ARCHIE CHUA
100495,NIERRAS PETER CARLO
100497,REYES AURELIO PANTALEON
1005,CAYETANO JAIME JR
100500,ARCILLA ARLYNN
100504,FLORES JEFEL JOY MANGUBAT
100511,GUMATAY WILBERT ALLAN
100513,RAMOS JESUS REY
100516,TIMBOL EDGAR WILSON
100518,DOMINGO POLLY
10052,LAGUARDIA ALLAN
100522,GALVEZ RAULDAN
10053,PACHECO GENEVIEVE
100535,RABE JOSE
100536,DEDUYO ORLANDO
100537,BICLAR HAZEL EIZA
1005371,TORRIJOS JENNY LYND CALAPATI
100538,MULSID ALFRAYZAR
10054,RABO CARTER
1005400,ARCILLA RUBEN
1005401,CRUZ ROMULUS EMMANUEL
100541,CRUZ ROMULUS EMMANUEL
1005411,NEPOMUCENO ARNEL
100543,CRUZ ROMULUS EMMANUEL
100544,CRUZ ROMULUS EMMANUEL
100547,CRUZ ROMULUS EMMANUEL
100551,ADIAZ TWINKLE
100552,LAGUARDIA ALLAN
100554,RABO CARTER
10056,LOPEZ BENJAMIN
100560,ANG JONALYN CHRIS
100562,YORO OFELYN
100564,RABO CARTER
1005654,RABO CARTER
100569,DE LUZURIAGA MAE LINDA
10057125,SISON JORGE
100572,GALVEZ RAULDAN
100573,ZUNIGA YASMIN LAURA MARIE
100575,MARQUEZ REEZA
100577,VISPERAS JULIE CHRISTIE
100579,MACASAET DONNAZON REYES
10058,RECIERDO JOSEPHINE
100585,GUIMAN RICHARD JULIUS
1005858,BAYAN VIRGILIO
100586,TUAZON JANICE LORIE CRUZ
1005878,FERNANDEZ RENE
100588,TUAZON JANICE LORIE CRUZ
100589,ENRIQUEZ AURORA PRESTI
10059041,WASSMER GIA DIMAYUGA
100591,ROJAS JOHNNY KENNETH
100594,MENDOZA ROSS ALLAN
1006,BATACLAN ROMMEL
100600,MANARPAAC GLENN
100601,RABO CARTER
100603,CO ABIGAIL
100604,RABO CARTER
100606,PATAL PERPETUA
10060723,GATCHALIAN LOVELL
10061,GUMATAY WILBERT ALLAN
100611,GUMATAY WILBERT ALLAN
1006111,GUMATAY WILBERT ALLAN
1006112,GUMATAY WILBERT ALLAN
100612,GUMATAY WILBERT ALLAN
100613,CASINO PHILIP
100614,RABO CARTER
1006141,GUMATAY WILBERT ALLAN
100615,ANG GINA
100616,SANTOS JOE ALEX
100621,SIBAL JOSEPHUS
100622,GUMATAY WILBERT ALLAN
100625,BARRIGA MERIAM
100626,GARCIA SHANE ERWIN
100628,CUARESMA MADELIENE
10063,CO GLORIA VIRGINIA
1006311,GUMATAY WILBERT ALLAN
1006317,DE LARA AILEEN CYNTHIA
100634,EBERO MARIA LOURDES
100636,HIPOLITO OLIVIA
1006369,GUMATAY WILBERT ALLAN
100637,ALAN PICHY ANN
100638,ESTANISLAO IAN HERBERT
100639,ESTANISLAO IAN HERBERT
1006394,MENDOZA ROSS ALLAN
1006396,ESTANISLAO IAN HERBERT
10064,RABO CARTER
100640,CRUZ ROMULUS EMMANUEL
10064014,LEH FREDERICK
100641,CRUZ ROMULUS EMMANUEL
100642,PILAR JONATHAN
1006425,MACALINTAL VINCENT
100643,LAGMAN CHRISTINE DOMINE
100646,SADSAD JIGGER
100647,LACEDA JEROME
100648,SADSAD JIGGER
10065,RABO CARTER
100651,RABO CARTER
1006511,GUMATAY WILBERT ALLAN
100653,DE VILLA IRIS
100654,RABO CARTER
1006541,CHU JUDY
1006544,RABO CARTER
1006545,RABO CARTER
100655,DE VILLA IRIS
100657,RABO CARTER
100659,BUHAT DONNA MAE LYN SANTIAGO
1006594,MENDOZA HELEN ALARCON
1006596,BLANCAVER CINDY JOSOL
100661,GUMATAY WILBERT ALLAN
1006611,GUMATAY WILBERT ALLAN
100664,RABO CARTER
100666,REYES DON ROBESPIERRE
100667,PENA DIGNA
100669,RAMIREZ MEYNARDO
1006694,MENDOZA ROSS ALLAN
1006696,PATAL PERPETUA
100679,MAGSINO NOVITO
100680,ONIA ALMIRA
100682,ESPINOSA NORA
100684,RABO CARTER
100689,RANA MARIA JESUSA
10069,PATAL PERPETUA
100694,MENDOZA ROSS ALLAN
1006943,MENDOZA ROSS ALLAN
1006947,MENDOZA ROSS ALLAN
100695,TUAZON JANICE LORIE CRUZ
100696,PATAL PERPETUA
1006963,PATAL PERPETUA
1006974,MENDOZA ROSS ALLAN
100698,MENDOZA ROSS ALLAN
1006981,ONDA CHARLES
100699,DELA CRUZ MICHAEL JAMES
1006994,MENDOZA ROSS ALLAN
1006996,PATAL PERPETUA
1007,KARIM AMILBAHAR
10070,CHIONG LOWE
100701,GABAS ANA MARICON ALFONSO
100702,GONZALES TEO BOSCO
10070240,GONZALES TEO BOSCO
10070514,BAUTISTA JEREMIAS
100706,GONZALES TEO BOSCO
100709,CHUA GARY
1007099,KARIM AMILBAHAR
10071,ECAL MELIZA DADUA
100710,MANICAD MARLON
10071159,ESTANISLAO IAN HERBERT
100712,SAMPANA ALLANBERT
1007142,SAMPANA ALLANBERT
100718,ARANDIA GIAN CARLO
100720,CANLAS RUTH
100721,TIMBOL EDGAR WILSON
1007249,LAGUDA ARNULFO JR
10073109,ACAMPADO FREDERICK
100732,JOCSON GABRIEL
100733,CARINGAL JEAN ABIGAILE
100734,GARINGARAO CARLO JAN
100735,BELTRAN CZARINA
100742,HABABAG WILMYR
100744,MERCADO ROSALIE
10074693,BORJA RONILO
10074697,BORJA RONILO
100747,BORJA RONILO
10074724,PRIETO ALEJANDRO
100749,CASINO PHILIP
10075,LAZARO ERMA
10075003,MARTINEZ FELIPE
100753,YUMUL ALLEN DAYRIT
100754,LAZARO ERMA
10075423,ROQUERO JO ANNE
10075482,ECAL MELIZA DADUA
100755,INDO MARLOWE SOTTO
10075673,LAZARO HEIDE
100756973,LAZARO HEIDE
100757,KANAPI MARIA PRINCESS LANDICHO
10075787,LAYUG MADELINE CARREON
1007591,LUCAS PAUL
10076,GONGORA CHARITEL RAMOS
10076130,KATIGBAK LUZVIMINDA
10076169,CANLAS REGINA
10076170,CANLAS MANUEL
10077,OCAMPO MELLMONT LAGUNILLA
100770,MANICAD MARLON
100771,CANLAS RUTH
1007710,MANICAD MARLON
100772,ARENAS OLIVER
10077242,SALVACION JOSHUA JOHNEDEL
10077424,SALVACION JOSHUA JOHNEDEL
100775,ATANACIO AILEEN YU
100776,ATANACIO AILEEN YU
10077782,ESPINEDA EMMANUEL RAY
10077971,DELAS ALAS CHRISTOPHER
10078,FORONDA SHERWIN
10078109,PASCUAL ROBINA
100784,ALVIAR TED
100786,JULIAN JOMELL
100787,DE LEON JASMYN
100789,SUMULONG VANGIE
100790,LOYOLA SHIELA MARIE
1007909,AMIL WALID
10079291,VILLAVICENCIO MARIA VICTORIA
1008,REYES DON ROBESPIERRE
10080,NARIO RONALD WINLY
100800,NARIO RONALD WINLY
1008000,MENDOZA MINA
10080000,MENDOZA MINA
100802,GALVEZ ANN CHERYL
100803,CHU MICHELLE ONG
1008033333,BAYAN LEAH JEANETTE CASTILLO
100808,GONZALES DINA
1008080,MARCIA JOSE PROTACIO
10080810,MARCIA JOSE PROTACIO
100809,PIANO ANTHONY
10080934,JISON JOAQUIN EMILIO
100810,VERIDIANO AIMEE
100811,DE GUZMAN LEAH
100812,ALEMANY GINA VILLARAMA
10081256,ALEMANY GINA VILLARAMA
10081257,ALEMANY RAMON CARLOS MIGUEL
10081266,CAYCO ANTONIO
10081275,PICAR ROSALINA
10081289,RODRIGUEZ ANDREI
100812954,MACALINTAL VINCENT
10081296,GONZALES ROCELIA
10081297,WENCESLAO EDWIN EPHRAIM
10081298,WILSON ODESSA
100813,LOPEZ GARY
1008130,ISIDRO JESSORE IBABAO
10081300,ISIDRO JESSORE IBABAO
10081346,LOPEZ GARY
10081348,LU RAYMOND
10081365,NOBLE PERRY
10081378,SANTIAGO CYMBELINE PEREZ
10081395,GOSIENGFAO KATERINA TANYA PEREZ
100814,FORONDA DINO
10081454,ALVAREZ RAQUEL MALLARI
10081493,ALCANTARA ROGIE MARIE IGNACIO
100817,RIVERA NENA NOEMI BELLO
10081716,GAVIOLA MARIA ROWENA
10081748,LU HENRY
100819,DE GUZMAN MARIA BLANCA
10081944,VILLAR JAY DY
10081952,AGUIRRE ANGELITA MIGUEL
10081988,DELA ROSA JOEL
10081991,DIAZ JUAN ARMANDO
10081993,DIAZ LOURDES DORION
10081994,VILLAR JAY DY
10081995,DY PRUDENCIO
10081997,DY TIMOTHY
10082,GALVEZ RAULDAN
1008200,FERRER DIANNE KAY
100821,GALVEZ ANN CHERYL
10082197,WENCESLAO EDWIN EPHRAIM
100822,GALVEZ RAULDAN
1008220,GALVEZ RAULDAN
1008221,GALVEZ ANN CHERYL
1008222,GALVEZ RAULDAN
1008223,GALVEZ RAULDAN
1008224,GALVEZ ANN CHERYL
100823,GALVEZ RAULDAN
1008232,GALVEZ ANN CHERYL
100825,GALVEZ RAULDAN
100826,GALVEZ RAULDAN
100827,RIVERA NENA NOEMI BELLO
1008293,TENGSON AILEEN SAYO
10083,ACOSTA TOM LOUIE
100830,DE LARA JOY MALLARI
10083102,REYES RODOLFO
10083132,CARANDANG RALPH LAURENCE
100832,GALVEZ RAULDAN
1008329,TAMAYO JOSEPH GEORGE
100833,GALVEZ RAULDAN
100836,DELA CRUZ TRINIDAD
1008369,YAMBAO PAUL EMMANUEL
100838,BRITANICO MA LITA
100839,DE LARA JOY MALLARI
10084,DALUMPINES ARVIN
100840,LAVARIAS BRENT
100841,CRUZ ROMULUS EMMANUEL
100843,LAGMAN CHRISTINE DOMINE
10085,GALVEZ RAULDAN
1008500,ROJAS JOHNNY KENNETH
10085040,LAURO AMOR
100851,MATAWARAN BIEN
1008539,BUHAT DONNA MAE LYN SANTIAGO
1008552,TUAZON JANICE LORIE CRUZ
1008559,BUSTOS CHARO
100857,MACARANAS ERIK RENZON
100859,BUSTOS CHARO
100861,ROMANO ARNEL
100862,BANZON JACQUELINE
1008637,ALAN PICHY ANN
100864,GALICIA MARK WILLIAM
1008657,ALAN PICHY ANN
100866,CHUA ANETTE
100869,MALONG CHANDY LOU CALANOG
1008694,MENDOZA ROSS ALLAN
10087,TE CAMILO JR
100870088,ORTEGA RUBEN
10087010,GAN ROBERT MICHAEL
10087023,HERRERA OSWALDO
10087025,ABOLI KARISSE
10087027,KATIGBAK GENEVIEVE
10087037,KANAPI MARIA PRINCESS LANDICHO
10087040,LAURO AMOR
10087047,LONTOC ARMANDO
10087080,LAURO AMOR
10087088,ORTEGA RUBEN
10087089,SISON MAY ORTIZ
10087094,QUIZON CHRISTINE
10087095,QUETUA PAUL
10087099,QUETUA PAUL
10087153,ROME MICHAEL
10087178,DELA REA CYNTHIA FABIAN
1008718,ROME MICHAEL
10087183,ROME MICHAEL
10087185,SANSANO OLIVER
10087187,ROME MICHAEL
10087191,SARMIENTO JOSIERINA
10087195,SISON JORGE
100872,IBANA SHEILA STA MARIA
1008722,GALVEZ RAULDAN
100873,BRANZUELA SONNY
1008737,KANAPI MARIA PRINCESS LANDICHO
1008740,LAURO AMOR
100877,TE CAMILO JR
1008777,TE CAMILO JR
1008783,ROME MICHAEL
100878339,BONAGUA AIREEN
100879,MAGSINO NOVITO
10088,TUAZON JANICE LORIE CRUZ
100880,NARIO RONALD WINLY
1008800,NARIO RONALD WINLY
10088002,GOLANGCO NERISSA ANG
10088004,APOSTOL ALFRED
10088006,ARAGON JIMMY
10088014,CAPELIAN MARIA LEONORA
10088018,CRISOSTOMO THELMA DIMALANTA
10088048,KASILAG EMMANUEL
10088049,KASILAG RAYNATO
10088052,LAPITAN RAUL
10088054,LEELIN FREDERICK ANDRE
10088056,MACALINTAL CLAVEL
10088058,MACALINTAL NAZARIO JR
10088074,PEDREGOSA GERARDO
10088079,RABAGO RYAN EDWARD
1008808,VALDEZ RAYMOND JOSEPH
1008810,NARIO RONALD WINLY
10088101,WASSMER GIA DIMAYUGA
10088169,JEREMILLO ROLANDO
100882,SICCION ROBERTINO
1008820,NARIO RONALD WINLY
10088252,AGUILAR DERRICK
100884,OCAMPO ARMIDA
1008857,MACARANAS ERIK RENZON
100887,TE CAMILO JR
10088720,JEREMILLO ROLANDO
10088761,JEREMILLO ROLANDO
10088763,JEREMILLO ROLANDO
10088769,JEREMILLO ROLANDO
10088770,JEREMILLO ROLANDO
1008879,RATUNIL MILAN
100888,RAMOS HALLERT
1008880,NARIO RONALD WINLY
10089,DE LARA AILEEN CYNTHIA
10089037,KANAPI MARIA PRINCESS LANDICHO
100893,OABEL EULOGIO
100894,MENDOZA ROSS ALLAN
100896,BAUTISTA MARIA ANNETTE DE GUZMAN
1008964,MENDOZA ROSS ALLAN
100905,RANA MARIA JESUSA
100908,GOLANGCO NERISSA ANG
100909,BONJE ANNA TERESA SANTOS
10091,ROQUE CHRISTIAN
100911,TAN EDILBERTO
100913,ONDA CHARLES
100914,ESTACIO RONALDO
10091591,SIMON JONATHAN
10091731,SIMON JONATHAN
10091736,SIMON JONATHAN
10091791,SIMON JONATHAN
1009187,CHING CHERYL MAY
100920,ALAN PICHY ANN
10092397,ESTACIO RONALDO
100933,AGUILAR ANTHONY HARVEY
100934,VILLANUEVA RUSSELL
100936,SALUDES HERMOGENES
10093932,MESINA BALDWIN
100940,LEE LEMUEL WILLIAM
100945,VILLANUEVA ALLEN
1009456,SALALIMA AILEEN
100951,CONCEPCION CHRISTOPHER
100953,CASALLO ALLAN VON
100955,REYES NICETA CORAZON
100956,SINGSON MANUEL JOSEPH
10096,PATAL PERPETUA
100960,RODRIGUEZ WILLIAM
100961,COLLADO MARIANNE
100962,LEY EVELYN ONG CHUA
100964,MENDOZA ROSS ALLAN
100969,PATAL PERPETUA
10096974,CABRAL MONICA THERESE
10097,ESTACIO RONALDO
100970,GONGORA CHARITEL RAMOS
100975,GONGORA CHARITEL RAMOS
100976,GONGORA CHARITEL RAMOS
1009760,GONGORA CHARITEL RAMOS
100978,DEL ROSARIO MADELAINE
1009780,GONGORA CHARITEL RAMOS
10098,BIGORNIA AUGUSTUS BUTCH CAESAR
100982,LEY EVELYN ONG CHUA
100986,SALUDES HERMOGENES
100988,DUMLAO LOURDES CAROLINA
100989,SALUDES HERMOGENES
100990,SANTOS GERALD PAUL
100996,MANALILI SHERYL ANNE
100997,ROSAS REGINALD
100998,FERNANDEZ ALMA
1010,MANTALA JOSEPT
10100,ALCARAZ LEAH
10100018,QUANICO ULYSSES
10100028,PAULE ADELINA
10100055,QUANICO ULYSSES
101000565,QUANICO ULYSSES
1010016,MANTALA JOSEPT
1010028,PAULE ADELINA
10100457,KANAPI MARIA PRINCESS LANDICHO
101005,MARINAS IMELDA SOCORRO
101006,MANTALA JOSEPT
1010061,MANANSALA JOJO
10100611,GUMATAY WILBERT ALLAN
1010066,MANTALA JOSEPT
101007,IBIAS NOEL
10101,POLICARPIO ALVIN
101010,MANTALA JOSEPT
1010101,RASAY FRANCE GIL
10101016,MANTALA JOSEPT
10101026,AGUILA ALBERT
1010105,MANTALA JOSEPT
1010106,MANTALA JOSEPT
10101067,MANTALA JOSEPT
1010107,MANTALA JOSEPT
10101076,AGUILA ALBERT
1010116,MANTALA JOSEPT
101012,CASTRO MARC ANTHONY
1010146,MANTALA JOSEPT
101015,MANTALA JOSEPT
1010156,MANTALA JOSEPT
101016,MANTALA JOSEPT
1010163,MANTALA JOSEPT
1010165,MANTALA JOSEPT
1010166,MANTALA JOSEPT
1010167,MANTALA JOSEPT
1010169,MANTALA JOSEPT
101017,MANTALA JOSEPT
10101754,LITONJUA AUGUSTO
1010178,SABINIANO KATHLEEN
1010183,ENCISO MIYAME
1010196,MANTALA JOSEPT
10102,MANTALA JOSEPT
101020,MANANSALA JOJO
1010200,PADILLA STANLEY
10102000,RAMOS CHRISTIAN
10102031,SY ALLAN ANDREW
101022,MANTALA JOSEPT
101024,MENGUITA MARK DENNIS
101025,MANCERA JANSEN
101026,MANTALA JOSEPT
101027,BABARAN MA CHRISTY
101028,SORIANO FILBERT
10103,DECOLONGON REX
10103001,SUAREZ RAMON JOSE
101033,MANTALA JOSEPT
10103380,ESPINO JULIE ANNE
1010341,BIANA RENATO
101037,DE TORRES MARIA THERESA UMALI
101038,CANDA RAMON
10104012,LOZANO JESUS TEVES
10104093,FULGENCIO LIECEL TRINIDAD
101041,GONZALES SHERRY EVETT YAP
10104238,PAGUILIGAN CHRISTIAN JAMES
101043,VILLANUEVA JOHNNY
101045,CASTRO JOSE NATHANIEL
101046,BONJE ANNA TERESA SANTOS
101047,MENGUITA MARK DENNIS
101048,SUTAREZ OWEN
10105,VINLUAN ABEGAIL DIAZ
101051,MANANSALA JOJO
101056,MANTALA JOSEPT
101059,INDAB AMOR JOANA
10106,MANANSALA JOJO
101060,MANTALA JOSEPT
101061,MANTALA JOSEPT
1010610,MANTALA JOSEPT
1010611,MANANSALA JOJO
1010613,MANTALA JOSEPT
101062,MANTALA JOSEPT
1010621,MANTALA JOSEPT
101064,MANTALA JOSEPT
1010640,SANTOS HARIM JR
101065,MANTALA JOSEPT
1010651,MANTALA JOSEPT
1010656,PRINCIPE CELEDONIO JR
101066,MANTALA JOSEPT
1010665,MANTALA JOSEPT
1010666,MANTALA JOSEPT
1010669,MANTALA JOSEPT
101067,FELIX MARJORIE REYES
1010677,MANTALA JOSEPT
101068,MANTALA JOSEPT
10106846,DELA CRUZ JEFFERSON
101069,MANTALA JOSEPT
1010690,MANTALA JOSEPT
1010694,MENDOZA ROSS ALLAN
1010696,MANTALA JOSEPT
10107,MENGUITA MARK DENNIS
1010704,MENGUITA MARK DENNIS
101071,MENGUITA MARK DENNIS
10107194,DERECHO DYMPHNA
101072,MENGUITA MARK DENNIS
101073,MENGUITA MARK DENNIS
101074,MENGUITA MARK DENNIS
1010740,MENGUITA MARK DENNIS
1010741,MENGUITA MARK DENNIS
1010747,MENGUITA MARK DENNIS
101075,MENGUITA MARK DENNIS
1010754,LITONJUA AUGUSTO
101076,MENGUITA MARK DENNIS
101077,OCAMPO MELLMONT LAGUNILLA
1010774,MENGUITA MARK DENNIS
101079,SANTELICES ERROL RHETT
101081,FRANCO MIEL KATHLEEN
10108140,PALANGINAN MA KATRINA
101082,PAA KATHERINE
101084,LAPLANO NESTOR ERIC
101085,PAA GILBERT LANCE
101086,MANTALA JOSEPT
10108728,MARCOS SHALEY
101088,ALAN PICHY ANN
101089,MALIWAT ROJOHN
101091,ABE ALEXANDER
101094,GONZALES ROCELIA
101096,MANTALA JOSEPT
1010961,MANTALA JOSEPT
10109769,CABAUATAN BELINDA OLAGUER
101099,MANTALA JOSEPT
10110,BAQUIRAN JULIUS
101100,PABER NADIA
1011006,MANTALA JOSEPT
10110183,ENCISO MIYAME
101102,BOLO RENATO JR
101103,MACATANGAY NOLY
101104,LAPLANO NESTOR ERIC
101105,VINLUAN ABEGAIL DIAZ
101106,RELOS IZUMI OLANGAR
1011066,MANTALA JOSEPT
1011083,ENCISO MIYAME
1011084,CRUZ MA MARCI CASTILLO
10111,MACALINTAL VINCENT
101110,YEBAN CHRISTINE
10111025,DAMPIL OLIVER ALLAN
1011114,ONIA ALMIRA
10111175,RAMOS CHRISTIAN
101114,ONIA ALMIRA
1011141,DAMPIL OLIVER ALLAN
1011147,ONIA ALMIRA
101115,TAN ALEX
1011154,ONIA ALMIRA
101116,ONIA ALMIRA
101117,ACAMPADO FREDERICK
1011175,RAMOS GLENN MICHAEL
10111794,FLORES RUBEN
1011184,LAPLANO NESTOR ERIC
101124,LAPLANO NESTOR ERIC
101127,DIMATATAC BELEN
1011278,FORONDA SHERWIN
1011319,DILIG OLIVIA
101134,LAPLANO NESTOR ERIC
101135,DIANZON GIAN CARLO
101136,VELASCO ELEONOR NONA
10113675,DY LOVELY APRIL CAMELLE
